# t (s)	mx ()	my ()	mz ()	J-freq (Hz)	B_ext (T)
2.0300157377891605e-09	0.18919294	0.87112576	0.08494678	1e+09	-0.28121766
2.0400266699289922e-09	0.22928861	0.74921274	0.2461508	1e+09	-0.3732783
2.0500136033679316e-09	0.15325582	0.5217551	0.42437214	1e+09	-0.46364743
2.0600011224540877e-09	-0.16192293	0.41610393	0.3770056	1e+09	-0.5521967
2.0700047099125895e-09	-0.35568038	0.48983663	-0.024078935	1e+09	-0.6387091
2.080012031332119e-09	-0.20686159	0.40217227	-0.4616447	1e+09	-0.72272986
2.0900243160673286e-09	0.31120652	0.35864747	-0.40491384	1e+09	-0.8039337
2.1000275957615244e-09	0.4297999	0.39425027	0.2558626	1e+09	-0.8818883
2.1100074935702555e-09	-0.16303447	0.31701887	0.49932843	1e+09	-0.9561904
2.1200247244783312e-09	-0.3941952	0.29425004	-0.14199995	1e+09	-1.0269905
2.1300036831340618e-09	0.152467	0.25703517	-0.37773603	1e+09	-1.0934767
2.140026059973057e-09	0.24148513	0.24112701	0.21424733	1e+09	-1.1559263
2.150007888454433e-09	-0.27564332	0.22424774	0.054846317	1e+09	-1.2135692
2.160004570158969e-09	0.15905732	0.16945304	-0.16828531	1e+09	-1.266515
2.1700067219428697e-09	-0.032907873	0.12599392	0.29310682	1e+09	-1.3144906
2.1800171281964215e-09	-0.24838367	0.11161302	-0.34100568	1e+09	-1.3573093
2.190006167620458e-09	0.47799307	0.08040707	0.067693904	1e+09	-1.3946861
2.2000100779400015e-09	-0.47099745	0.026377816	0.32747203	1e+09	-1.4266142
2.210019772566548e-09	0.20870574	-0.07263223	-0.5751298	1e+09	-1.452921
2.220012144995169e-09	0.09782418	-0.14049642	0.62207973	1e+09	-1.4734523
2.230006954568597e-09	-0.40147355	-0.16502333	-0.49574152	1e+09	-1.4881803
2.2400014258198743e-09	0.56291044	-0.18139125	0.2864651	1e+09	-1.497041
2.250018926865934e-09	-0.6661248	-0.2062654	-0.04228475	1e+09	-1.5
2.2600081332718245e-09	0.64527464	-0.2556799	-0.180616	1e+09	-1.4970353
2.2700084562055028e-09	-0.5606747	-0.33157384	0.3531405	1e+09	-1.488162
2.2800063331745714e-09	0.42206237	-0.39756247	-0.47604424	1e+09	-1.4734197
