# t (s)	mx ()	my ()	mz ()	J-freq (Hz)	B_ext (T)
1.900020153088973e-09	0.6970831	-0.6729742	-0.02236096	1e+10	-1.26625555e-05
1.9100005306873866e-09	0.71465266	-0.6578969	-0.006334288	1e+10	-0.005878122
1.9200080914549894e-09	0.72011745	-0.6573101	0.012783091	1e+10	-0.009512135
1.9300149910019806e-09	0.7098755	-0.6711925	0.02728396	1e+10	-0.0095076505
1.9400211191612865e-09	0.6870029	-0.6943812	0.031867955	1e+10	-0.005867112
1.950027249482479e-09	0.66003764	-0.7189324	0.025019486	1e+10	1.7121347e-05
1.960006226092017e-09	0.6390917	-0.7361973	0.009212848	1e+10	0.005881017
1.970013310002662e-09	0.63120425	-0.73974204	-0.009536734	1e+10	0.009513146
1.980020831429039e-09	0.63812536	-0.72847086	-0.02353831	1e+10	0.009506512
1.9900005053596193e-09	0.6558956	-0.708261	-0.027157178	1e+10	0.005877596
2.000007932169542e-09	0.6773983	-0.68898904	-0.019068457	1e+10	-4.983929e-06
2.010015642497009e-09	0.6940806	-0.67959	-0.002462725	1e+10	-0.0058858013
2.020023215604956e-09	0.6978136	-0.68372154	0.016204378	1e+10	-0.009515063
2.0300025630550932e-09	0.684702	-0.69973326	0.029826997	1e+10	-0.009510067
2.0400091206827417e-09	0.6583179	-0.72271526	0.033196047	1e+10	-0.0058732154
2.0500155852924112e-09	0.6288504	-0.74555284	0.02459227	1e+10	9.792527e-06
2.060022364396455e-09	0.60764647	-0.76067924	0.0071218964	1e+10	0.005889215
2.070002115880434e-09	0.60171705	-0.7623724	-0.012344623	1e+10	0.009510976
2.0800095256116115e-09	0.61168087	-0.7496606	-0.026512977	1e+10	0.009508714
2.090016924253823e-09	0.632839	-0.7277303	-0.030236108	1e+10	0.005869246
2.100024119286752e-09	0.6575148	-0.7061174	-0.022152288	1e+10	-1.5154589e-05
2.110003669225722e-09	0.6770917	-0.6940633	-0.0052868403	1e+10	-0.0058797174
2.1200108678046523e-09	0.6834535	-0.6955787	0.013826927	1e+10	-0.009512673
2.1300182777024366e-09	0.67253274	-0.70918876	0.027626768	1e+10	-0.00950701
2.1400249629976636e-09	0.64854914	-0.72991437	0.030590972	1e+10	-0.005865156
2.1500038730231866e-09	0.62226623	-0.75055444	0.021190917	1e+10	2.4334922e-06
2.1600107325296776e-09	0.6050113	-0.7635382	0.002723869	1e+10	0.0058833067
2.17001837899613e-09	0.60363793	-0.7625531	-0.017605912	1e+10	0.009514127
2.1800259904114774e-09	0.61824167	-0.745871	-0.03206294	1e+10	0.009505507
2.1900055461532667e-09	0.6436521	-0.7188549	-0.03548661	1e+10	0.005875033
2.200012496546393e-09	0.6720284	-0.69193375	-0.026491208	1e+10	-7.851811e-06
2.2100199840712367e-09	0.69442993	-0.67569333	-0.008085983	1e+10	-0.005888006
2.2200004120009567e-09	0.70269185	-0.6749178	0.012587687	1e+10	-0.009510645
2.2300075919637177e-09	0.6930645	-0.68806005	0.027560038	1e+10	-0.00950909
2.2400139852240475e-09	0.6697751	-0.7096627	0.03117742	1e+10	-0.0058707413
2.250020166647741e-09	0.6431927	-0.7319025	0.0221278	1e+10	1.2671075e-05
2.260026988641173e-09	0.62469065	-0.7463138	0.0037266305	1e+10	0.005891563
2.270006782633755e-09	0.621804	-0.74616575	-0.016810019	1e+10	0.0095118815
2.2800141027290425e-09	0.635429	-0.72992015	-0.031597506	1e+10	0.009507823
2.2900215454887637e-09	0.6605636	-0.70324516	-0.035172433	1e+10	0.005866895
2.300001710495298e-09	0.68875414	-0.67691416	-0.026144147	1e+10	-1.0747359e-06
2.3100097145197282e-09	0.710932	-0.6609961	-0.007394833	1e+10	-0.0058827894
2.320017388845474e-09	0.7184714	-0.66048014	0.014118969	1e+10	-0.009513936
2.3300241469902792e-09	0.7071558	-0.6746037	0.030132838	1e+10	-0.009505866
2.340002828304833e-09	0.68089736	-0.69822854	0.034700565	1e+10	-0.005876415
2.3500091323458663e-09	0.65008616	-0.7233776	0.026116697	1e+10	5.7380216e-06
2.360015696442681e-09	0.6274037	-0.7409847	0.007560512	1e+10	0.0058858283
2.3700228896335324e-09	0.62135506	-0.7442042	-0.013460164	1e+10	0.009515
2.3800030948769018e-09	0.63266164	-0.7316345	-0.02868444	1e+10	0.009509964
2.390010918840572e-09	0.6559063	-0.70845896	-0.03281575	1e+10	0.005872301
2.4000182618537133e-09	0.68257356	-0.6846098	-0.02431102	1e+10	-1.1474259e-05
2.4100255479901087e-09	0.70346415	-0.66985154	-0.0059966864	1e+10	-0.0058908314
2.420005042338286e-09	0.70990974	-0.6693578	0.015038864	1e+10	-0.009511543
2.4300121401278817e-09	0.6976338	-0.6829352	0.030523472	1e+10	-0.009508206
2.4400188329357095e-09	0.67078847	-0.70599383	0.03450418	1e+10	-0.005868275
2.4500253608870876e-09	0.6405641	-0.7307674	0.025485603	1e+10	1.593471e-05
2.4600047559667475e-09	0.6193424	-0.74850297	0.0069869086	1e+10	0.0058802697
2.470012216552507e-09	0.61415505	-0.75231373	-0.013669779	1e+10	0.009512934
2.4800196532625726e-09	0.62503034	-0.74008834	-0.028548947	1e+10	0.0095067425
2.490026851135713e-09	0.6470634	-0.716827	-0.03251505	1e+10	0.005864195
2.500006451464276e-09	0.6727249	-0.69261026	-0.024154754	1e+10	-4.0535742e-06
2.5100137465068416e-09	0.6934033	-0.6773387	-0.006171399	1e+10	-0.005884838
2.520021280773851e-09	0.70043087	-0.67644835	0.01434854	1e+10	-0.0095146885
2.5300008860533875e-09	0.68973786	-0.6893112	0.029011518	1e+10	-0.009510393
2.5400076515650636e-09	0.6655663	-0.711204	0.03243722	1e+10	-0.0058739623
2.550014139391053e-09	0.63842535	-0.73474187	0.023477126	1e+10	8.884041e-06
2.5600210285019547e-09	0.61928964	-0.75138223	0.005367679	1e+10	0.0058885366
2.5700006736111214e-09	0.6147427	-0.7538003	-0.014916012	1e+10	0.009510696
2.580008156861395e-09	0.6253422	-0.7398139	-0.029592913	1e+10	0.00950898
2.5900154257356753e-09	0.64698184	-0.71489817	-0.03313588	1e+10	0.0058700084
2.600022572880543e-09	0.6725185	-0.68995994	-0.024148539	1e+10	-1.4182954e-05
2.610002492768193e-09	0.6932133	-0.67553115	-0.0058056414	1e+10	-0.0058791195
2.620010233268102e-09	0.7006064	-0.676162	0.014790233	1e+10	-0.00951255
2.6300174576167337e-09	0.6903308	-0.69017357	0.029434483	1e+10	-0.00950717
