# t (s)	mx ()	my ()	mz ()	J-freq (Hz)	B_ext (T)
2.850001122541452e-09	0.63096917	-0.7409725	0.023779165	1e+10	7.053136e-07
2.8550181233249714e-09	0.61953455	-0.7500563	0.014687251	1e+10	0.0031009978
2.8600079500951863e-09	0.6116568	-0.7562581	0.0041151675	1e+10	0.005881893
2.865025432267876e-09	0.6079198	-0.7587952	-0.006976203	1e+10	0.008099552
2.870015391836236e-09	0.608543	-0.7571061	-0.017343417	1e+10	0.0095135495
2.875005241526882e-09	0.61324286	-0.7511569	-0.026028724	1e+10	0.01
2.8800227549641547e-09	0.62149316	-0.74137074	-0.032252166	1e+10	0.009506137
2.885012682740145e-09	0.6323899	-0.72885644	-0.03540014	1e+10	0.008085484
2.890002489233681e-09	0.6450232	-0.7149578	-0.035239205	1e+10	0.0058765872
2.8950197957101815e-09	0.65846276	-0.70119905	-0.031729296	1e+10	0.0030783382
2.9000097127618137e-09	0.6715331	-0.68930125	-0.025180213	1e+10	-6.1027076e-06
2.9050272405487334e-09	0.68330956	-0.68040955	-0.01610326	1e+10	-0.0031064434
2.910017169331975e-09	0.69255614	-0.67538905	-0.005470287	1e+10	-0.0058865766
2.915007279769101e-09	0.6982693	-0.67440915	0.0056857285	1e+10	-0.008092858
2.920024853885914e-09	0.6995947	-0.6772905	0.016271051	1e+10	-0.00951538
2.9250148758007414e-09	0.696138	-0.6835091	0.025103584	1e+10	-0.009999996
2.930004614260913e-09	0.6881678	-0.6924069	0.031396743	1e+10	-0.009509669
2.935021644182326e-09	0.6764704	-0.70326775	0.0345932	1e+10	-0.008082169
2.940011098110659e-09	0.6624977	-0.7151054	0.034385674	1e+10	-0.0058722096
2.9450005396134428e-09	0.6477697	-0.72705275	0.030816829	1e+10	-0.0030898475
2.9500174700653744e-09	0.6338438	-0.7382009	0.024147565	1e+10	1.0976763e-05
2.9550070805764476e-09	0.62235916	-0.7474254	0.015055255	1e+10	0.0030944007
2.9600243701652232e-09	0.6143477	-0.7538302	0.0043276018	1e+10	0.0058902334
2.9650142323576388e-09	0.61058074	-0.7564852	-0.006839833	1e+10	0.008095423
2.9700041037323377e-09	0.61118865	-0.75488544	-0.017370146	1e+10	0.009511362
2.9750216329007565e-09	0.61595875	-0.7489109	-0.026266178	1e+10	0.00999999
2.980011555639633e-09	0.6242521	-0.7391113	-0.032597106	1e+10	0.009508319
2.9850013125991357e-09	0.63526547	-0.72647	-0.035856687	1e+10	0.008089685
2.9900187225361015e-09	0.6481125	-0.71230954	-0.035749234	1e+10	0.0058683315
2.9950085409032784e-09	0.66162544	-0.6984073	-0.03226146	1e+10	0.0030850656
3.000026092033012e-09	0.6749038	-0.68621	-0.025629943	1e+10	-1.63941e-05
