# t (s)	mx ()	my ()	mz ()	J-freq (Hz)
2.2800120677760304e-09	-0.28704238	-0.7187536	0.15830839	1e+09
2.290000570302559e-09	0.23255129	-0.75668937	-0.21367905	1e+09
2.3000055704164057e-09	-0.15570936	-0.7861239	0.25897387	1e+09
2.3100046622843595e-09	0.058809265	-0.81456465	-0.28658104	1e+09
2.3200097232558227e-09	0.059162688	-0.83232725	0.28208455	1e+09
2.330013018467015e-09	-0.1727264	-0.8422312	-0.23995796	1e+09
2.3400115769802197e-09	0.27911323	-0.845354	0.14710386	1e+09
2.3500025713056992e-09	-0.31753805	-0.8505435	-0.0022164544	1e+09
2.360011813578389e-09	0.2541896	-0.8705133	-0.15339744	1e+09
2.370008725074457e-09	-0.05460661	-0.8987561	0.24796233	1e+09
2.3800041995011825e-09	-0.18636332	-0.90063006	-0.18670024	1e+09
2.3900002262903367e-09	0.29179376	-0.89859605	-0.021517325	1e+09
2.4000136577007295e-09	-0.101568274	-0.92099726	0.1958471	1e+09
2.4100032975603635e-09	-0.19233027	-0.91476786	-0.11836679	1e+09
2.420007912047033e-09	0.17474517	-0.9297475	-0.11819874	1e+09
2.4300060105234306e-09	0.14961018	-0.9282926	0.11344278	1e+09
2.4400053844063475e-09	-0.11690361	-0.9351855	0.11527088	1e+09
2.4500061475612374e-09	-0.18536231	-0.92802334	-0.03058574	1e+09
2.460011043954517e-09	-0.059250705	-0.95056105	-0.105870396	1e+09
2.4700054431393868e-09	0.08696552	-0.9465772	-0.089541495	1e+09
2.4800000146833374e-09	0.17936625	-0.9321737	-0.048788927	1e+09
2.490004755040338e-09	0.22332007	-0.91982555	-0.012468996	1e+09
2.500011451342594e-09	0.24113587	-0.91399395	-0.00012938597	1e+09
2.5100016359868084e-09	0.2696206	-0.89827275	-0.02931966	1e+09
2.520008444221594e-09	0.33255687	-0.8445847	-0.10849436	1e+09
2.5300085146961837e-09	0.42032874	-0.6973178	-0.25674188	1e+09
2.540011233552974e-09	0.4218144	-0.39016342	-0.48141763	1e+09
2.550011028907477e-09	0.07767602	-0.08436343	-0.6644208	1e+09
2.5600143398729455e-09	-0.4163999	-0.16283387	-0.46874383	1e+09
2.5700097182902875e-09	-0.45917496	-0.20450334	0.06790886	1e+09
2.5800025329330494e-09	-0.020419747	-0.062753305	0.36223748	1e+09
2.5900026230248904e-09	0.32523903	-0.04381177	0.047733516	1e+09
2.6000042363212317e-09	0.06315383	-0.0033439542	-0.3181256	1e+09
2.610005491672175e-09	-0.3274573	-0.010262046	-0.05375058	1e+09
2.6200018586847126e-09	0.008309478	0.093712345	0.3760639	1e+09
2.6300110357313156e-09	0.36570752	0.05624993	-0.15296279	1e+09
2.64000621184499e-09	-0.30288672	0.12628236	-0.25313485	1e+09
2.6500055107255798e-09	-0.06912329	0.18461077	0.39346024	1e+09
2.6600027358671084e-09	0.36584693	0.16376881	-0.16759726	1e+09
2.6700077962114442e-09	-0.340009	0.19629718	-0.15273029	1e+09
2.6800092390427883e-09	0.14161396	0.27206334	0.2976296	1e+09
2.690003307841599e-09	0.053228933	0.32324687	-0.31025082	1e+09
2.700015112929253e-09	-0.223759	0.33001193	0.21575098	1e+09
2.7100123488070597e-09	0.25782114	0.35524935	-0.08084436	1e+09
2.7200068260163802e-09	-0.24677745	0.38678923	-0.020094415	1e+09
2.7300036259461443e-09	0.17915282	0.43212682	0.09648107	1e+09
2.7400064398443132e-09	-0.10406605	0.46871686	-0.10782291	1e+09
2.750011347328553e-09	0.037138388	0.5092875	0.09779765	1e+09
2.7600075632227525e-09	0.00920277	0.532736	-0.09673476	1e+09
2.770001505944628e-09	-0.06027666	0.5589567	0.086945936	1e+09
2.7800079015808285e-09	0.06805268	0.57713205	-0.0651042	1e+09
2.790011012900205e-09	-0.07677047	0.61366314	0.04446913	1e+09
2.800012282414946e-09	0.07581051	0.6276546	-0.019119428	1e+09
2.8100143695494878e-09	-0.06409779	0.65733665	0.009503063	1e+09
2.8200103615949234e-09	0.055669058	0.6874851	0.003533158	1e+09
2.8300034930066667e-09	-0.057439134	0.7041187	-0.030089783	1e+09
2.840006553681612e-09	0.030701155	0.7227447	0.06319473	1e+09
2.8500022484705953e-09	0.039688088	0.72288215	-0.059196346	1e+09
2.8600039262797175e-09	-0.07541258	0.7504084	0.01063385	1e+09
2.8700015586453533e-09	0.06276207	0.7806493	0.048875213	1e+09
2.8800138445974016e-09	0.023252184	0.79955065	-0.061820325	1e+09
2.890003872582285e-09	-0.06798767	0.79172343	-0.0025665285	1e+09
2.9000075142645942e-09	-0.0052279327	0.8203863	0.053214215	1e+09
2.91000241413222e-09	0.068929754	0.8307461	0.009984255	1e+09
2.920012765686944e-09	0.035211727	0.84256566	-0.06741997	1e+09
2.930000575452373e-09	-0.08612734	0.8540456	-0.033625133	1e+09
2.9400154590377945e-09	-0.08234523	0.8512774	0.06946798	1e+09
2.9500004142444696e-09	0.06948531	0.86970705	0.07835685	1e+09
2.9600054622894714e-09	0.14404774	0.86687636	-0.0044258866	1e+09
2.970010070371805e-09	0.09878375	0.8778362	-0.06414344	1e+09
2.9800096066323724e-09	0.009432687	0.88629925	-0.07347909	1e+09
2.9900062433919785e-09	-0.065915264	0.8525964	-0.062168226	1e+09
3.0000149132106126e-09	-0.10588528	0.79419994	-0.051763423	1e+09
3.0100102060602193e-09	-0.13367663	0.74419236	-0.045955203	1e+09
3.0200038399237994e-09	-0.15085343	0.6870167	-0.055685762	1e+09
3.03001159127565e-09	-0.14655155	0.5813017	-0.08582791	1e+09
3.0400081728026087e-09	-0.08990227	0.40138942	-0.113860466	1e+09
3.050013917124337e-09	0.014511507	0.21308202	-0.088369004	1e+09
3.0600068611457814e-09	0.06432127	0.14095819	0.006434726	1e+09
3.070004681670289e-09	0.011509892	0.13051228	0.0812227	1e+09
3.0800077135593875e-09	-0.04850717	0.0710623	0.047642652	1e+09
3.090012735291777e-09	-0.036379885	-0.004302643	-0.049442038	1e+09
3.100012073321728e-09	0.038487818	-0.009567902	-0.018549882	1e+09
3.110003185823792e-09	-0.047972757	-0.050896775	0.041657902	1e+09
3.120011767772054e-09	-0.07311138	-0.09299305	-0.06828584	1e+09
3.1300022260708073e-09	0.065174975	-0.11134222	-0.08765092	1e+09
3.1400139684729414e-09	0.09889024	-0.17867781	0.07925797	1e+09
3.1500022284632687e-09	-0.119708374	-0.22115052	0.09289991	1e+09
3.1600030043542953e-09	-0.05116969	-0.26319787	-0.1627638	1e+09
3.1700057559696485e-09	0.17539683	-0.30771244	0.055640146	1e+09
3.180002150370449e-09	-0.19886982	-0.34581506	0.11201746	1e+09
3.190007345315411e-09	0.07760603	-0.3842701	-0.22713128	1e+09
3.2000019151908563e-09	0.08309243	-0.42952344	0.22031477	1e+09
3.2100045348755895e-09	-0.17050974	-0.4620792	-0.13776276	1e+09
3.2200078035677694e-09	0.2199372	-0.5049709	0.04010596	1e+09
3.230010180691818e-09	-0.19721119	-0.5262183	0.057041604	1e+09
3.2400054215337555e-09	0.1573121	-0.55725646	-0.096042484	1e+09
3.2500127823728143e-09	-0.11379462	-0.58743864	0.10917679	1e+09
3.2600088919050553e-09	0.07883565	-0.62095326	-0.12515864	1e+09
3.2700024372966867e-09	-0.042098247	-0.66071874	0.11308643	1e+09
3.28000457491761e-09	0.0047084987	-0.69031245	-0.10328146	1e+09
3.290010693627977e-09	0.026771698	-0.7115305	0.090114534	1e+09
3.3000021931768262e-09	-0.023424603	-0.7417823	-0.087922856	1e+09
3.310003568942018e-09	0.06692111	-0.75622106	0.08065973	1e+09
3.3200075605295427e-09	-0.08352667	-0.76965165	-0.043544024	1e+09
3.330006153550304e-09	0.09698812	-0.7875943	-0.015448594	1e+09
3.340012783216325e-09	-0.04831212	-0.80512214	0.05630964	1e+09
3.3500032658605567e-09	-0.0066105677	-0.79988766	-0.037108477	1e+09
3.3600117572185484e-09	0.026341658	-0.82084244	-0.0057899235	1e+09
3.3700061108671296e-09	0.0026628827	-0.8436794	0.016227646	1e+09
3.3800086501923594e-09	-0.018905034	-0.84815	0.003100243	1e+09
3.390010917288236e-09	-0.0013908765	-0.8683898	-0.014586257	1e+09
3.4000092085856114e-09	0.01460618	-0.88331664	0.0055817254	1e+09
3.410007403972317e-09	-0.0035099066	-0.88361007	0.011232802	1e+09
3.420009532047769e-09	-0.026588438	-0.9052719	0.0030460847	1e+09
3.4300009444291617e-09	0.0005848133	-0.91224045	-0.027426044	1e+09
3.4400141100274755e-09	0.043845844	-0.91206664	-0.00075515365	1e+09
3.4500058752495712e-09	0.007137937	-0.91486603	0.031614464	1e+09
3.4600023996194287e-09	-0.045106966	-0.9241282	0.016610982	1e+09
3.470014816683687e-09	-0.03777219	-0.93264985	-0.003159752	1e+09
3.4800133331495568e-09	-0.024689198	-0.9337512	-0.011905519	1e+09
3.4900001649677593e-09	-0.015709061	-0.940486	-0.020375889	1e+09
3.500015521077829e-09	0.00019135838	-0.94645685	-0.02467503	1e+09
3.5100047454104355e-09	0.023398971	-0.944707	-0.02654334	1e+09
3.520002257441082e-09	0.04700949	-0.91782117	-0.035779927	1e+09
3.5300140810495833e-09	0.058415264	-0.8517842	-0.054212786	1e+09
3.540010437893128e-09	0.044254348	-0.7424568	-0.083810575	1e+09
